date	site	tot-phos	tot_nit	ammonium	react_phos	chlor_a	iron
2024-05-29	EPI	9	0.24	0.01	0.01	1.2	NA
2024-05-29	HYP	11.8	0.2	0.01	0.01	0.9	NA
2024-07-21	HYP	12.8	0.18	0.01	1	7.3	NA
2024-07-02	EPI	10.6	0.26	0.01	1.3	3.3	NA
2024-07-02	HYP	11	0.19	0.01	1.3	5.9	NA
2024-04-29	EPI	8.7	0.15	0.01	3.45	1.94	NA
2024-04-29	HYP	8.7	0.15	0.01	1	3.09	NA
2024-08-07	EPI	10.8	0.2	0.01	1.1	4.6	NA
2024-08-07	HYP	20.3	0.16	0.01	7.5	5.4	NA
2024-09-08	EPI	9.1	0.21	0.01	1	4.2	0.05
2024-09-08	HYP	19.3	0.2	0.01	1	13.3	0.08
