date	meter	temp	do
2024-04-29	0	12.1	10.57
2024-04-29	1	11.4	10.69
2024-04-29	2	11.1	10.74
2024-04-29	3	10.4	10.76
2024-04-29	4	10.1	10.78
2024-04-29	5	9.8	10.81
2024-04-29	6	9.7	10.78
2024-04-29	7	9.2	10.63
2024-04-29	8	9.1	10.09
2024-05-29	0	21.1	8.62
2024-05-29	1	21.1	8.62
2024-05-29	2	21	8.61
2024-05-29	3	21	8.59
2024-05-29	4	18.7	9.84
2024-05-29	5	14.9	10.28
2024-05-29	6	12.5	7.56
2024-05-29	7	11.3	8.15
2024-05-29	8	10.7	4.93
2024-07-02	0	22.9	8.67
2024-07-02	1	22.4	8.75
2024-07-02	2	22.1	8.75
2024-07-02	3	22	8.73
2024-07-02	4	21.8	8.63
2024-07-02	5	19.8	8.74
2024-07-02	6	15.2	5.72
2024-07-02	7	13.6	2.62
2024-07-02	8	11.9	0.3
2024-07-21	0	25.9	8.11
2024-07-21	1	25.9	8.08
2024-07-21	2	25.9	8.08
2024-07-21	3	25.9	7.95
2024-07-21	4	25.2	7.9
2024-07-21	5	21.5	8.27
2024-07-21	6	17.2	4.17
2024-07-21	7	14.6	1.34
2024-07-21	8	12.3	0.1
2024-08-07	0	25.6	8.31
2024-08-07	1	25.1	8.36
2024-08-07	2	25	8.27
2024-08-07	3	24.9	8.18
2024-08-07	4	24.7	8.03
2024-08-07	5	23.9	7.4
2024-08-07	6	17.7	3.1
2024-08-07	7	15.1	0.25
2024-08-07	8	12.9	0.1
2024-09-08	0	20.7	7.95
2024-09-08	1	20.7	7.93
2024-09-08	2	20.7	7.92
2024-09-08	3	20.7	7.87
2024-09-08	4	20.8	7.87
2024-09-08	5	20.8	7.86
2024-09-08	6	20.7	7.8
2024-09-08	7	16.3	0.14
2024-09-08	8	13.6	0.07
